nsbpid,nsbsid,nsinconset,nsgpslat,nsgpslong,nsmalename,nsfemalename,nseggs,nschicks,nsfledglings,nsoffspring,nschickid1,nschickid2,nschickid3,nspredationtype,nsnestnomale,nsnestnofemale,m_bicohort,m_biageclass,f_bicohort,f_biageclass,m_bibandcombo,f_bibandcombo
AceGam,2018/2019,5,-41.29875599,174.745574,Ace,Gamble,2,0,0,0,,,,None,1,1,2017/2018,P,2016/2017,P,BG-PGM,RM-YG
AceGam,2018/2019,54,-41.29888197,174.745274,Ace,Gamble,3,2,2,1,BP17589,BP17590,,None,3,3,2017/2018,P,2016/2017,P,BG-PGM,RM-YG
AceGam,2019/2020,9,-41.29882498,174.745346,Ace,Gamble,2,2,1,1,BP19347,BP19348,,None,1,1,2017/2018,P,2016/2017,P,BG-PGM,RM-YG
AceGam,2019/2020,67,-41.29885197,174.745275,Ace,Gamble,3,2,0,0,,,,C,2,2,2017/2018,P,2016/2017,P,BG-PGM,RM-YG
AceGam,2020/2021,15,-41.29850797,174.745437,Ace,Gamble,2,2,2,2,BP19484,BP19485,,None,1,1,2017/2018,P,2016/2017,P,BG-PGM,RM-YG
AceGam,2020/2021,88,-41.29881098,174.745175,Ace,Gamble,2,0,0,0,NA,,,E,2,2,2017/2018,P,2016/2017,P,BG-PGM,RM-YG
AlbVic,2022/2023,-2,-41.29834,174.74753,Albert,Victoria,2,2,2,0,BP22888,BP22889,,None,1,1,2020/2021,FL,2019/2020,P,PM-OR,SM-KB
AlfAnn,2022/2023,32,-41.30156,174.74681,Alfie,Annie,2,0,0,0,,,,None,1,1,2021/2022,P,2020/2021,FL,GM-WR,BR-PM
AlfAnn,2022/2023,62,-41.3014,174.74615,Alfie,Annie,2,1,1,1,BP23455,,,None,2,2,2021/2022,P,2020/2021,FL,GM-WR,BR-PM
AnoInn,2018/2019,8,-41.29805703,174.744864,Anon,Innamed,2,2,1,1,BP17516,BP17517,,None,1,1,2017/2018,A,2015/2016,A,YB-PGM,PBM-GY
AnoInn,2018/2019,52,-41.29810598,174.74545,Anon,Innamed,3,3,3,3,BP17576,BP17578,BP17577,None,2,2,2017/2018,A,2015/2016,A,YB-PGM,PBM-GY
AnoOri,2019/2020,37,-41.29821997,174.745607,Anon,Orio,3,1,1,1,BP19371,,,None,1,2,2017/2018,A,2018/2019,P,YB-PGM,OR-OM
AnoOri,2020/2021,89,-41.29816004,174.745563,Anon,Orio,2,1,1,1,BP22773,,,None,1,2,2017/2018,A,2018/2019,P,YB-PGM,OR-OM
ArtCat,2020/2021,69,-41.30118599,174.746995,Arthur,Cat,2,2,2,1,BP22763,,,None,1,2,2018/2019,P,2012/2013,A,RW-BM,RW-YM
ArtGui,2021/2022,36,-41.30159,174.74687,Arthur,Guinevere,2,2,0,0,NA,,,C,2,1,2018/2019,P,2020/2021,P,RW-BM,OO-PM
ArtGui,2021/2022,67,-41.30121,174.74652,Arthur,Guinevere,2,2,2,2,BP22841,BP22842,,None,3,2,2018/2019,P,2020/2021,P,RW-BM,OO-PM
BowQue,2014/2015,21,-41.30095004,174.745617,Bowie,Queen,2,2,0,0,,,,None,1,1,2012/2013,A+,2012/2013,A+,FPFP-YM,YM-RFP
BowQue,2014/2015,58,-41.30082599,174.745511,Bowie,Queen,2,2,1,1,BP10173,,,None,2,2,2012/2013,A+,2012/2013,A+,FPFP-YM,YM-RFP
BraBil,2022/2023,-1,-41.2967,174.7475,Brad,Billie Jean,2,2,2,0,.UB-UB,,,None,1,1,2020/2021,FL,2017/2018,P,WG-PM,PGM-BR
BraBil,2022/2023,46,0,0,Brad,Billie Jean,2,2,2,2,BP24539,BP24540,,None,2,2,2020/2021,FL,2017/2018,P,WG-PM,PGM-BR
BraBil,2022/2023,92,-41.29688,174.74733,Brad,Billie Jean,2,0,0,0,,,,E,3,3,2020/2021,FL,2017/2018,P,WG-PM,PGM-BR
BruCer,2015/2016,44,-41.29810103,174.74604,Bruiser,Cersei,2,2,2,2,BP10180,BP10181,,None,2,2,2013/2014,J,2014/2015,P,BG-YM,GM-YR
BruCer,2016/2017,6,-41.29811704,174.746158,Bruiser,Cersei,2,0,0,0,,,,None,1,1,2013/2014,J,2014/2015,P,BG-YM,GM-YR
BruCer,2016/2017,36,-41.29788,174.746378,Bruiser,Cersei,3,2,1,1,BP13855,,,None,2,2,2013/2014,J,2014/2015,P,BG-YM,GM-YR
BruCer,2017/2018,13,-41.29794404,174.745736,Bruiser,Cersei,2,2,0,0,,,,None,1,1,2013/2014,J,2014/2015,P,BG-YM,GM-YR
BruCer,2017/2018,48,-41.29809097,174.746251,Bruiser,Cersei,3,2,2,2,BP17402,BP17403,,None,2,2,2013/2014,J,2014/2015,P,BG-YM,GM-YR
BudGeo,2016/2017,0,-41.295982,174.747323,Buddy,Georgie,2,0,0,0,,,,None,1,1,2013/2014,J,2015/2016,FL,BFP-YM,BW-PBM
BudGeo,2016/2017,78,-41.295982,174.747323,Buddy,Georgie,2,1,0,0,,,,None,2,2,2013/2014,J,2015/2016,FL,BFP-YM,BW-PBM
BudGeo,2017/2018,18,-41.29616599,174.747204,Buddy,Georgie,2,2,2,2,BP17412,,,None,1,1,2013/2014,J,2015/2016,FL,BFP-YM,BW-PBM
BudGeo,2017/2018,76,-41.29619298,174.747095,Buddy,Georgie,2,1,1,1,BP17439,,,None,2,2,2013/2014,J,2015/2016,FL,BFP-YM,BW-PBM
BudHol,2018/2019,-1,-41.29638199,174.746849,Buddy,Holly,2,2,0,0,,,,C,1,1,2013/2014,J,2016/2017,A,BFP-YM,KM-YY
BudHol,2018/2019,40,-41.296039,174.747136,Buddy,Holly,2,2,2,1,BP17555,BP17556,,None,2,2,2013/2014,J,2016/2017,A,BFP-YM,KM-YY
BulChe,2019/2020,12,-41.30052399,174.746509,Buller,Chelsea,2,2,0,0,,,,C,1,1,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2019/2020,52,-41.30089204,174.74687,Buller,Chelsea,3,2,1,1,BP19410,BP19411,,None,2,2,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2020/2021,28,-41.30065701,174.746702,Buller,Chelsea,2,2,2,2,BP22710,BP22711,,None,1,1,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2020/2021,93,-41.30076203,174.746813,Buller,Chelsea,2,2,2,1,BP19417,BP19418,,None,2,2,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2021/2022,6,-41.30058,174.74672,Buller,Chelsea,2,2,2,2,BP19423,BP19424,,None,1,1,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2021/2022,78,-41.30068,174.74652,Buller,Chelsea,3,2,2,2,BP22858,BP22857,,None,2,2,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2022/2023,10,-41.30069,174.7466,Buller,Chelsea,2,2,1,0,,,,None,1,1,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2022/2023,58,-41.30062,174.7464,Buller,Chelsea,3,0,0,0,,,,None,2,2,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulChe,2022/2023,76,-41.3005,174.7466,Buller,Chelsea,3,0,0,0,,,,E,3,3,2015/2016,A,2017/2018,P,FPFP-PBM,GG-PGM
BulHui,2016/2017,29,-41.30049298,174.746472,Buller,Huia,3,3,2,1,BP13845,BP13846,,None,1,1,2015/2016,A,2015/2016,P,FPFP-PBM,PBM-RFP
BumBee,2014/2015,25,-41.29998403,174.745638,Bumble,Bee,2,2,2,1,BP10151,BP10150,,None,1,1,2006/2007,A,2012/2013,A,OM-YK,PBW-YM
BumBee,2015/2016,40,-41.29995704,174.745427,Bumble,Bee,4,1,1,1,BP10145,,,None,1,1,2006/2007,A,2012/2013,A,OM-YK,PBW-YM
BumBee,2015/2016,92,-41.299994,174.745154,Bumble,Bee,2,1,1,0,BP13809,,,None,2,2,2006/2007,A,2012/2013,A,OM-YK,PBW-YM
BumBee,2016/2017,13,-41.29991697,174.74548,Bumble,Bee,2,1,0,0,,,,C,1,1,2006/2007,A,2012/2013,A,OM-YK,PBW-YM
BumBee,2016/2017,48,-41.29988696,174.745817,Bumble,Bee,3,3,3,2,BP13858,BP13859,BP13860,None,2,2,2006/2007,A,2012/2013,A,OM-YK,PBW-YM
CapFlo,2022/2023,29,-41.30123,174.74629,Captain,Florence,2,2,0,0,,,,None,1,1,2021/2022,P,2015/2016,A,GM-RR,PBM-PBB
CapFlo,2022/2023,63,-41.30114,174.74637,Captain,Florence,3,2,0,0,,,,None,2,2,2021/2022,P,2015/2016,A,GM-RR,PBM-PBB
CapFlo,2022/2023,97,-41.30128,174.74646,Captain,Florence,2,0,0,0,,,,None,3,3,2021/2022,P,2015/2016,A,GM-RR,PBM-PBB
ChaAng,2021/2022,19,-41.29724,174.74518,Charlie,Angel,2,0,0,0,NA,,,None,1,1,2019/2020,P,2020/2021,A,SM-BG,PM-WW
ChaAng,2021/2022,31,-41.29744,174.74489,Charlie,Angel,2,2,2,1,BP22795,BP22796,,None,2,2,2019/2020,P,2020/2021,A,SM-BG,PM-WW
ChaAng,2022/2023,14,-41.29737,174.74487,Charlie,Angel,2,2,2,2,BP24513,BP24515,,None,1,1,2019/2020,P,2020/2021,A,SM-BG,PM-WW
ChaAng,2022/2023,65,-41.29729,174.74512,Charlie,Angel,2,2,2,2,BP24558,BP24557,,None,2,2,2019/2020,P,2020/2021,A,SM-BG,PM-WW
ChaApp,2018/2019,14,-41.29845802,174.746229,Champ,Apple,2,1,1,1,BP17537,,,None,1,1,2010/2011,A+,2016/2017,FL,KM-RY,RM-OW
ChaApp,2018/2019,60,-41.29840303,174.745909,Champ,Apple,3,3,3,2,BP19301,BP19302,BP19303,None,2,2,2010/2011,A+,2016/2017,FL,KM-RY,RM-OW
ChaApp,2019/2020,27,-41.29817404,174.746332,Champ,Apple,3,2,2,2,BP19367,BP19368,,None,2,2,2010/2011,A+,2016/2017,FL,KM-RY,RM-OW
ChaLad,2014/2015,0,-41.29856204,174.746116,Champ,Lady,2,0,0,0,,,,None,1,1,2010/2011,A+,2013/2014,A,KM-RY,RK-YM
ChaLad,2014/2015,52,-41.298513,174.745915,Champ,Lady,2,2,2,2,BP10171,BP10172,,None,2,2,2010/2011,A+,2013/2014,A,KM-RY,RK-YM
ChaLad,2015/2016,23,-41.29834604,174.746116,Champ,Lady,2,0,0,0,,,,E,1,1,2010/2011,A+,2013/2014,A,KM-RY,RK-YM
ChaLad,2015/2016,52,-41.29838099,174.745908,Champ,Lady,2,2,2,1,BP10186,BP10187,,None,2,2,2010/2011,A+,2013/2014,A,KM-RY,RK-YM
ChaLad,2016/2017,26,-41.29873998,174.745807,Pie,Lady,2,2,2,2,BP13841,BP13843,,,1,1,2015/2016,A,2013/2014,A,PBM-WB,RK-YM
ChaMay,2020/2021,44,-41.301388,174.745074,Chaos,Mayhem,2,2,2,1,BP22725,BP22726,,None,1,1,2019/2020,P,2016/2017,A,YR-SM,GB-RM
ChaMay,2021/2022,23,-41.3014,174.74507,Chaos,Mayhem,2,2,2,2,BP22791,BP22792,,None,1,1,2019/2020,P,2016/2017,A,YR-SM,GB-RM
ChaMay,2021/2022,83,-41.30161,174.74554,Chaos,Mayhem,2,1,1,1,BP22882,,,None,2,2,2019/2020,P,2016/2017,A,YR-SM,GB-RM
ChaMay,2022/2023,30,-41.30127,174.74529,Chaos,Mayhem,2,2,2,2,BP24501,BP24502,,None,1,1,2019/2020,P,2016/2017,A,YR-SM,GB-RM
